"","epoch","Middle layers","Number of nodes","Validation","Loss","Batch normalization"
"423",3,"3 layer","huge","Validation error",26.660530090332,TRUE
"424",4,"3 layer","huge","Validation error",27.8213005065918,TRUE
"425",5,"3 layer","huge","Validation error",24.6176719665527,TRUE
"426",6,"3 layer","huge","Validation error",24.2068519592285,TRUE
"427",7,"3 layer","huge","Validation error",24.3337001800537,TRUE
"428",8,"3 layer","huge","Validation error",27.6504745483398,TRUE
"429",9,"3 layer","huge","Validation error",31.1966705322266,TRUE
"430",10,"3 layer","huge","Validation error",23.5757102966309,TRUE
"431",11,"3 layer","huge","Validation error",24.5647449493408,TRUE
"432",12,"3 layer","huge","Validation error",23.1625690460205,TRUE
